,Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records
207,https://id.biodiversity.org.au/node/apni/2908719,Eryngium ovinum,A.Cunn.,species,Plantae,Charophyta,Equisetopsida,Apiales,Apiaceae,Eryngium,Blue Devil,3
208,https://id.biodiversity.org.au/node/apni/2909401,Triptilodiscus pygmaeus,Turcz.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Triptilodiscus,Dwarf Sunray,3
209,https://id.biodiversity.org.au/node/apni/2911021,Eleocharis acuta,R.Br.,species,Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Eleocharis,Common Spike-rush,3
210,https://id.biodiversity.org.au/node/apni/2915545,Hibbertia calycina,(DC.) N.A.Wakef.,species,Plantae,Charophyta,Equisetopsida,,Dilleniaceae,Hibbertia,Lesser Guineaflower,3
211,https://id.biodiversity.org.au/node/apni/2915695,Senecio diaschides,D.G.Drury,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Senecio,Erect Groundsel,3
212,https://id.biodiversity.org.au/node/apni/2916353,Picris angustifolia,DC.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Picris,,3
213,https://id.biodiversity.org.au/node/apni/2918471,Carex appressa,R.Br.,species,Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Carex,Tall Sedge,3
214,https://id.biodiversity.org.au/node/apni/2919217,Lachnagrostis filiformis,(G.Forst.) Trin.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Lachnagrostis,Perehia,3
215,https://id.biodiversity.org.au/node/apni/2919480,Bossiaea foliosa,A.Cunn.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Bossiaea,Leafy Bossiaea,3
216,https://id.biodiversity.org.au/node/apni/2921221,Aristida ramosa,R.Br.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Aristida,Purple Wiregrass,3
217,https://id.biodiversity.org.au/node/apni/5294597,Eucalyptus melliodora,A.Cunn. ex Schauer,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Honey Box,3
218,https://id.biodiversity.org.au/node/apni/7743730,Bursaria spinosa,Cav.,species,Plantae,Charophyta,Equisetopsida,Apiales,Pittosporaceae,Bursaria,Prickly Pine,3
219,https://id.biodiversity.org.au/taxon/apni/51268348,Cirsium vulgare,(Savi) Ten.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Cirsium,Spear Thistle,3
